query_name,match_level,category,candidate_A_node,candidate_A_name,candidate_A_block,candidate_B_nodes,candidate_B_names,candidate_B_blocks,query_block,gold_curie,adjudication_method,difficulty_flag,retrievable@200,eligible_for
"2,3-butanediol",MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:16982,"(R,R)-butane-2,3-diol",OWBTYPJTUOEWEK,CHEBI:62064,"butane-2,3-diol",OWBTYPJTUOEWEK,OWBTYPJTUOEWEK,,expert,ambiguous_shared_connectivity,True,
"2,3-diphosphoglycerate",MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:17720,"2,3-bisphospho-D-glyceric acid",XOHUEYCVLUUEJJ,CHEBI:28907,"2,3-bisphosphoglyceric acid",XOHUEYCVLUUEJJ,XOHUEYCVLUUEJJ,,expert,ambiguous_shared_connectivity,False,
"2,4-diaminobutyrate",MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:64307,"2,4-diaminobutyric acid",OGNSCSPNOLGXSM,CHEBI:16028,"L-2,4-diaminobutyrate",OGNSCSPNOLGXSM,OGNSCSPNOLGXSM,,expert,ambiguous_shared_connectivity,True,
2-Methylmaleate,MS2,divergent (different compound),CHEBI:17626,citraconic acid,HNEGQIOMVPPMNR,CHEBI:87810,3-methylmalate(2-),NPYQJIHHTGFBLN,HNEGQIOMVPPMNR,CHEBI:17626,inchikey_auto,connectivity_match,False,tier1
2-aminoadipate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:37024,2-aminoadipic acid,OYIFNHCXNCRBQI,CHEBI:84981,2-aminoadipate(2-),OYIFNHCXNCRBQI,OYIFNHCXNCRBQI,,expert,ambiguous_shared_connectivity,False,
2-aminooctanoate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:75145,2-aminooctanoic acid,AKVBCGQVQXPRLD,CHEBI:142420,2-aminooctanoate,AKVBCGQVQXPRLD,AKVBCGQVQXPRLD,,expert,ambiguous_shared_connectivity,False,
2-aminophenol sulfate,CURATION,divergent (different compound),CHEBI:133194,2-aminophenyl sulfate,VSTZVCJQGSLNLL,CHEBI:133186,2-aminophenyl hydrogen sulfate,VSTZVCJQGSLNLL,,,expert,query_unresolvable,True,
2-hydroxybehenate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:76980,2-hydroxybehenic acid,RPGJJWLCCOPDAZ,CHEBI:76722,2-hydroxybehenate,RPGJJWLCCOPDAZ,RPGJJWLCCOPDAZ,,expert,ambiguous_shared_connectivity,False,
2-hydroxydecanoate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:133172,2-hydroxydecanoic acid,GHPVDCPCKSNJDR,CHEBI:133174,2-hydroxydecanoate,GHPVDCPCKSNJDR,GHPVDCPCKSNJDR,,expert,ambiguous_shared_connectivity,True,
2-hydroxyhippurate (salicylurate),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:9008,salicyluric acid,ONJSZLXSECQROL,CHEBI:132923,salicylurate,ONJSZLXSECQROL,,,expert,query_unresolvable,True,
2-hydroxyoctanoate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:86543,2-hydroxyoctanoic acid,JKRDADVRIYVCCY,CHEBI:133514,2-hydroxyoctanoate,JKRDADVRIYVCCY,JKRDADVRIYVCCY,,expert,ambiguous_shared_connectivity,False,
2-hydroxypalmitate,CURATION,divergent (different compound),CHEBI:65101,2-hydroxyhexadecanoic acid,JGHSBPIZNUXPLA,CHEBI:142989,2-hydroxypalmitoleate,MFMJWERISIRPMN,JGHSBPIZNUXPLA,CHEBI:65101,inchikey_auto,connectivity_match,False,tier1
2-isopropylmalate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:28635,2-isopropylmalic acid,BITYXLXUCSKTJS,CHEBI:35128,(2S)-2-isopropylmalic acid,BITYXLXUCSKTJS,BITYXLXUCSKTJS,,expert,ambiguous_shared_connectivity,False,
"3,4,5-trimethoxycinnamate",MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:566519,"3,4,5-trimethoxycinnamic acid",YTFVRYKNXDADBI,CHEBI:228320,"(E)-3,4,5-Trimethoxycinnamic acid",YTFVRYKNXDADBI,YTFVRYKNXDADBI,,expert,ambiguous_shared_connectivity,True,
"3,4-dihydroxybenzoate",MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:36062,"3,4-dihydroxybenzoic acid",YQUVCSBJEUQKSH,CHEBI:36241,"3,4-dihydroxybenzoate",YQUVCSBJEUQKSH,YQUVCSBJEUQKSH,,expert,ambiguous_shared_connectivity,True,
"3,4-dihydroxymandelate",MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:27637,"3,4-dihydroxymandelic acid",RGHMISIYKIHAJW,CHEBI:53326,"3,4-dihydroxymandelate",RGHMISIYKIHAJW,RGHMISIYKIHAJW,,expert,ambiguous_shared_connectivity,True,
3-(4-hydroxyphenyl)lactate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:16003,(R)-3-(4-hydroxyphenyl)lactic acid,JVGVDSSUAVXRDY,CHEBI:36659,3-(4-hydroxyphenyl)lactate,JVGVDSSUAVXRDY,JVGVDSSUAVXRDY,,expert,ambiguous_shared_connectivity,False,
3-aminoisobutyrate,CURATION,divergent (different compound),CHEBI:142590,3-aminoisobutanoic acid zwitterion,QCHPKSFMDHPSNR,CHEBI:49096,3-aminoisobutyrate,QCHPKSFMDHPSNR,QCHPKSFMDHPSNR,,expert,ambiguous_shared_connectivity,False,
3-hydroxyanthranilate,MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:15793,3-hydroxyanthranilic acid,WJXSWCUQABXPFS,CHEBI:36559,3-hydroxyanthranilate,WJXSWCUQABXPFS,WJXSWCUQABXPFS,,expert,ambiguous_shared_connectivity,True,
3-hydroxydecanoate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:132983,3-hydroxydecanoic acid,FYSSBMZUBSBFJL,CHEBI:132979,3-hydroxydecanoate,FYSSBMZUBSBFJL,FYSSBMZUBSBFJL,,expert,ambiguous_shared_connectivity,False,
3-hydroxyisobutyrate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:18064,3-hydroxyisobutyric acid,DBXBTMSZEOQQDU,CHEBI:11805,3-hydroxyisobutyrate,DBXBTMSZEOQQDU,DBXBTMSZEOQQDU,,expert,ambiguous_shared_connectivity,True,
3-hydroxylaurate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:36206,3-hydroxylauric acid,MUCMKTPAZLSKTL,CHEBI:76616,3-hydroxylaurate,MUCMKTPAZLSKTL,MUCMKTPAZLSKTL,,expert,ambiguous_shared_connectivity,False,
3-hydroxymandelate,MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:86553,3-hydroxymandelic acid,OLSDAJRAVOVKLG,CHEBI:32804,4-hydroxymandelate,YHXHKYRQLYQUIH,OLSDAJRAVOVKLG,CHEBI:86553,inchikey_auto,connectivity_match,False,tier1
3-hydroxyoctanoate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:37098,3-hydroxyoctanoic acid,NDPLAKGOSZHTPH,CHEBI:133511,3-hydroxyoctanoate,NDPLAKGOSZHTPH,NDPLAKGOSZHTPH,,expert,ambiguous_shared_connectivity,True,
3-methyladipate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:68503,3-methyladipic acid,SYEOWUNSTUDKGM,CHEBI:86387,3-methyladipate(2-),SYEOWUNSTUDKGM,SYEOWUNSTUDKGM,,expert,ambiguous_shared_connectivity,False,
3-methylhistidine,CURATION,multi-id (biomapper ambiguous set),CHEBI:70959,3-methylhistidine,JDHILDINMRGULE,CHEBI:27596|CHEBI:50599,N(pros)-methyl-L-histidine|N(tele)-methyl-L-histidine,BRMWTNUJHUMWMS|BRMWTNUJHUMWMS,JDHILDINMRGULE,CHEBI:70959,inchikey_auto,connectivity_match,True,"tier1,ablation,tbench"
3-phenyllactic acid,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:43065,(S)-3-phenyllactic acid,VOXXWSYKYCBWHO,CHEBI:25998,3-phenyllactic acid,VOXXWSYKYCBWHO,VOXXWSYKYCBWHO,,expert,ambiguous_shared_connectivity,True,
3-phenylpropionate (hydrocinnamate),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:28631,3-phenylpropionic acid,XMIIGOLPHOKFCH,CHEBI:51057,3-phenylpropionate,XMIIGOLPHOKFCH,,,expert,query_unresolvable,True,
4-acetamidophenol,MS2,divergent (different compound),CHEBI:46195,paracetamol,RZVAJINKPMORJF,CHEBI:143107,2-acetamidophenol,ADVGKWPZRIDURE,RZVAJINKPMORJF,CHEBI:46195,inchikey_auto,connectivity_match,False,tier1
4-guanidinobutanoate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:15728,4-guanidinobutanoic acid,TUHVEAJXIMEOSA,CHEBI:86392,4-guanidinobutanoate,TUHVEAJXIMEOSA,TUHVEAJXIMEOSA,,expert,ambiguous_shared_connectivity,True,
4-hydroxyhippurate,CURATION,divergent (different compound),CHEBI:71018,p-hydroxyhippuric acid,ZMHLUFWWWPBTIU,CHEBI:133607,m-hydroxyhippurate,XDOFWFNMYJRHEW,ZMHLUFWWWPBTIU,CHEBI:71018,inchikey_auto,connectivity_match,False,tier1
4-hydroxynonenal,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:142593,4-hydroxynonenal,JVJFIQYAHPMBBX,CHEBI:58968,(E)-4-hydroxynon-2-enal,JVJFIQYAHPMBBX,JVJFIQYAHPMBBX,,expert,ambiguous_shared_connectivity,True,
4-hydroxypyridine,MS2,divergent (different compound),CHEBI:133125,4-pyridone,GCNTZFIIOFTKIY,CHEBI:87614,4-hydroxypyridine,GCNTZFIIOFTKIY,GCNTZFIIOFTKIY,,expert,ambiguous_shared_connectivity,True,
4-methyl-2-oxopentanoate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:48430,4-methyl-2-oxopentanoic acid,BKAJNAXTPSGJCU,CHEBI:17865,4-methyl-2-oxopentanoate,BKAJNAXTPSGJCU,BKAJNAXTPSGJCU,,expert,ambiguous_shared_connectivity,True,
4-methylbenzenesulfonate,MS2,divergent (different compound),CHEBI:27849,toluene-4-sulfonic acid,JOXIMZWYDAKGHI,CHEBI:11987,4-formylbenzenesulfonate,XSAOGXMGZVFIIE,JOXIMZWYDAKGHI,CHEBI:27849,inchikey_auto,connectivity_match,False,tier1
4-methylcatechol sulfate,CURATION,divergent (different compound),CHEBI:176442,4-Methylcatechol 1-O-sulfate,NCOMUGOPQPRVSE,CHEBI:232803,4-methylcatechol sulfate,AATDNGCLCGOWJE,AATDNGCLCGOWJE,CHEBI:232803,inchikey_auto,connectivity_match,True,"tier1,ablation,tbench"
4-nitrophenol,MS2,parent/child or substring (generic vs specific),CHEBI:16836,4-nitrophenol,BTJIUGUIPKRLHP,CHEBI:57917,4-nitrophenolate,BTJIUGUIPKRLHP,BTJIUGUIPKRLHP,,expert,ambiguous_shared_connectivity,True,
5-aminolevulinate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:17549,5-aminolevulinic acid,ZGXJTSGNIOSYLO,CHEBI:12109,5-aminolevulinate,ZGXJTSGNIOSYLO,ZGXJTSGNIOSYLO,,expert,ambiguous_shared_connectivity,True,
5-dodecenoate (12:1n7),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:83044,5-dodecenoic acid,IJBFSOLHRKELLR,CHEBI:83046,5-dodecenoate,IJBFSOLHRKELLR,,,expert,query_unresolvable,True,
5-hydroxylysine,CURATION,parent/child or substring (generic vs specific),CHEBI:60175,5-hydroxylysine,YSMODUONRAFBET,CHEBI:18040,erythro-5-hydroxy-L-lysine,YSMODUONRAFBET,YSMODUONRAFBET,,expert,ambiguous_shared_connectivity,True,
5_HpEPE__4_55,MS2,divergent (different compound),CHEBI:138392,hydroperoxyicosapentaenoic acid,,CHEBI:90822,5-HPETE(1-),JNUUNUQHXIOFDA,,,expert,query_unresolvable,False,
"5alpha-androstan-3beta,17beta-diol disulfate",CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:133115,"5alpha-androstane-3beta,17beta-diol disulfate",JHFAETDERBWUOO,CHEBI:133116,"5alpha-androstane-3beta,17beta-diol disulfate(2-)",JHFAETDERBWUOO,,,expert,query_unresolvable,True,
6-hydroxyindole sulfate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:133568,6-hydroxyindole sulfate,QRHHXPIYYXPEMG,CHEBI:133569,6-hydroxyindole sulfate(1-),QRHHXPIYYXPEMG,QRHHXPIYYXPEMG,,expert,ambiguous_shared_connectivity,True,
6-shogaol,MS2,divergent (different compound),CHEBI:174643,[8]-Shogaol,LGZSMXJRMTYABD,CHEBI:10138,[6]-Shogaol,OQWKEEOHDMUXEO,OQWKEEOHDMUXEO,CHEBI:10138,inchikey_auto,connectivity_match,True,"tier1,ablation,tbench"
7-methylguanine,CURATION,divergent (different compound),CHEBI:28664,"2-amino-7-methyl-1,7-dihydro-6H-purin-6-one",FZWGECJQACGGTI,CHEBI:2274,7-methylguanine,FZWGECJQACGGTI,FZWGECJQACGGTI,,expert,ambiguous_shared_connectivity,True,
7alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:83036,7alpha-hydroxy-3-oxo-4-cholestenoic acid,SATGKQGFUDXGAX,CHEBI:133803,7alpha-hydroxy-3-oxo-4-cholestenoate,SATGKQGFUDXGAX,,,expert,query_unresolvable,True,
9(10)-EpOME,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:34494,9(10)-EpOME,FBUKMFOXMZRGRB,CHEBI:84023,9(10)-EpOME(1-),FBUKMFOXMZRGRB,FBUKMFOXMZRGRB,,expert,ambiguous_shared_connectivity,True,
9-hydroxystearate,CURATION,divergent (different compound),CHEBI:136638,9-hydroxyoctadecanoic acid,RKHXDCVAPIMDMG,CHEBI:229769,8-hydroxystearate(1-),YYWHSFVJGXJTKD,RKHXDCVAPIMDMG,CHEBI:136638,inchikey_auto,connectivity_match,False,tier1
Beta-Leucine,MS2,multi-id (biomapper ambiguous set),CHEBI:72772,beta-leucine,GLUJNGJDHCTUJY,CHEBI:15604|CHEBI:86261,(3R)-beta-leucine|(3S)-beta-leucine,GLUJNGJDHCTUJY|GLUJNGJDHCTUJY,GLUJNGJDHCTUJY,,expert,ambiguous_shared_connectivity,True,
Chaulmoogric acid,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:27939,chaulmoogric acid,XMVQWNRDPAAMJB,CHEBI:61389,(R)-chaulmoogric acid,XMVQWNRDPAAMJB,XMVQWNRDPAAMJB,,expert,ambiguous_shared_connectivity,True,
Diethyl 2-methyl-3-oxosuccinate,MS2,divergent (different compound),CHEBI:172442,4-Heptenal diethyl acetal,BOALWZNGHWYCRG,CHEBI:16879,diethyl 2-methyl-3-oxosuccinate,OQOCQBJWOCRPQY,OQOCQBJWOCRPQY,CHEBI:16879,inchikey_auto,connectivity_match,True,"tier1,ablation,tbench"
Germicidin C,MS2,parent/child or substring (generic vs specific),CHEBI:218904,Germicidin C,QKYRDLBTCVVFJE,CHEBI:216747,Germicidin,NPQKQKITPJTEBK,QKYRDLBTCVVFJE,CHEBI:218904,inchikey_auto,connectivity_match,True,"tier1,ablation,tbench"
Glutaconic Acid,MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:24309,glutaconic acid,XVOUMQNXTGKGMA,CHEBI:15670,(E)-glutaconic acid,XVOUMQNXTGKGMA,XVOUMQNXTGKGMA,,expert,ambiguous_shared_connectivity,True,
Glutamine,MS2,multi-id (biomapper ambiguous set),CHEBI:28300,glutamine,ZDXPYRJPNDTMRX,CHEBI:18050|CHEBI:58359,L-glutamine|L-glutamine zwitterion,ZDXPYRJPNDTMRX|ZDXPYRJPNDTMRX,ZDXPYRJPNDTMRX,,expert,ambiguous_shared_connectivity,True,
Glycocholic acid,MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:17687,glycocholic acid,RFDAIACWWDREDC,CHEBI:29746,glycocholate,RFDAIACWWDREDC,RFDAIACWWDREDC,,expert,ambiguous_shared_connectivity,True,
Isethionate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:1157,isethionic acid,LADXKQRVAFSPTR,CHEBI:61904,isethionate,SUMDYPCJJOFFON,SUMDYPCJJOFFON,CHEBI:61904,inchikey_auto,connectivity_match,True,"tier1,ablation,tbench"
L-Carvone,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:38265,carvone,ULDHMXUKGWMISQ,CHEBI:15400,(-)-carvone,ULDHMXUKGWMISQ,ULDHMXUKGWMISQ,,expert,ambiguous_shared_connectivity,False,
LPC 18:1,MS2,divergent (different compound),CHEBI:28610,1-O-oleoyl-sn-glycero-3-phosphocholine,YAMUFBLWGFFICM,CHEBI:72589,1-elaidoyl-sn-glycero-3-phosphocholine,YAMUFBLWGFFICM,YAMUFBLWGFFICM,,expert,ambiguous_shared_connectivity,False,
N-acetylasparagine,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:138368,N-acetylasparagine,ISXAJCKCTSMILF,CHEBI:139582,N-alpha-acetyl-L-asparagine,HXFOXFJUNFFYMO,HXFOXFJUNFFYMO,CHEBI:139582,inchikey_auto,connectivity_match,True,"tier1,ablation,tbench"
N-acetylhistidine,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:86910,N-acetylhistidine,KBOJOGQFRVVWBH,CHEBI:16437,N-acetyl-L-histidine,KBOJOGQFRVVWBH,KBOJOGQFRVVWBH,,expert,ambiguous_shared_connectivity,True,
N-acetylneuraminate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:17012,N-acetylneuraminic acid,SQVRNKJHWKZAKO,CHEBI:45744,N-acetyl-beta-neuraminic acid,SQVRNKJHWKZAKO,SQVRNKJHWKZAKO,,expert,ambiguous_shared_connectivity,True,
N-acetylphenylalanine,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:21626,N-acetylphenylalanine,CBQJSKKFNMDLON,CHEBI:16259,N-acetyl-L-phenylalanine,CBQJSKKFNMDLON,CBQJSKKFNMDLON,,expert,ambiguous_shared_connectivity,True,
N-acetyltryptophan,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:70976,N-acetyltryptophan,DZTHIGRZJZPRDV,CHEBI:74640,N-acetyl-L-tryptophan,DZTHIGRZJZPRDV,DZTHIGRZJZPRDV,,expert,ambiguous_shared_connectivity,True,
N6-methyllysine,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:64349,N(6)-methyllysine,PQNASZJZHFPQLE,CHEBI:17604,N(6)-methyl-L-lysine,PQNASZJZHFPQLE,PQNASZJZHFPQLE,,expert,ambiguous_shared_connectivity,True,
O-sulfo-tyrosine,CURATION,parent/child or substring (generic vs specific),CHEBI:46215,O(4')-sulfo-L-tyrosine,CIQHWLTYGMYQQR,CHEBI:232819,Sulfo-L-tyrosine,,,,expert,query_unresolvable,False,
PROPYL GALLIC ACID,MS2,parent/child or substring (generic vs specific),CHEBI:10607,n-propyl gallate,ZTHYODDOHIVTJV,CHEBI:30778,gallic acid,LNTHITQWFMADLM,QULIOZDJZXKLNY,,expert,no_candidate_matches_query,False,
Paclobutrazol,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:139345,"(R,R)-paclobutrazol",RMOGWMIKYWRTKW,CHEBI:139344,"(S,S)-paclobutrazol",RMOGWMIKYWRTKW,RMOGWMIKYWRTKW,,expert,ambiguous_shared_connectivity,False,
Prunasin,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:25150,prunasin,ZKSZEJFBGODIJW,CHEBI:17396,(R)-prunasin,ZKSZEJFBGODIJW,ZKSZEJFBGODIJW,,expert,ambiguous_shared_connectivity,True,
S-1-pyrroline-5-carboxylate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:1372,1-pyrroline-5-carboxylic acid,DWAKNKKXGALPNW,CHEBI:17388,(S)-1-pyrroline-5-carboxylate,DWAKNKKXGALPNW,DWAKNKKXGALPNW,,expert,ambiguous_shared_connectivity,False,
S-methylcysteine,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:229268,Methylcysteine,IDIDJDIHTAOVLG,CHEBI:45658,S-methylcysteine,IDIDJDIHTAOVLG,IDIDJDIHTAOVLG,,expert,ambiguous_shared_connectivity,True,
S-methylmethionine,CURATION,divergent (different compound),CHEBI:67050,S-methyl-L-methioninate,YDBYJHTYSHBBAU,CHEBI:232419,S-methylmethionine,YDBYJHTYSHBBAU,YDBYJHTYSHBBAU,,expert,ambiguous_shared_connectivity,True,
Tropine,MS2,parent/child or substring (generic vs specific),CHEBI:15742,pseudotropine,CYHOMWAPJJPNMW,CHEBI:15884,tropine,CYHOMWAPJJPNMW,CYHOMWAPJJPNMW,,expert,ambiguous_shared_connectivity,False,
Y 26763,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:18186,tyrosine,OUYCCCASQSFEME,CHEBI:17895,L-tyrosine,WFTCFVUQORELJZ,IWTCFIIOUXJOOV,,expert,no_candidate_matches_query,False,
acetoacetate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:15344,acetoacetic acid,WDJHALXBUFZDSR,CHEBI:13705,acetoacetate,WDJHALXBUFZDSR,WDJHALXBUFZDSR,,expert,ambiguous_shared_connectivity,True,
aconitate [cis or trans],CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:32805,cis-aconitic acid,GTZCVFVGUGFEME,CHEBI:16383,cis-aconitate(3-),GTZCVFVGUGFEME,,,expert,query_unresolvable,True,
anthranilate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:30754,anthranilic acid,RWZYAGGXGHYGMB,CHEBI:16567,anthranilate,RWZYAGGXGHYGMB,RWZYAGGXGHYGMB,,expert,ambiguous_shared_connectivity,True,
arabinose,CURATION,divergent (different compound),CHEBI:46983,aldehydo-D-arabinose,SRBFZHDQGSBBOR,CHEBI:17535,L-arabinopyranose,SRBFZHDQGSBBOR,PYMYPHUHKUWMLA,,expert,no_candidate_matches_query,True,
arachidonate (20:4n6),CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:15843,arachidonic acid,YZXBAPSDXZZRGB,CHEBI:32395,arachidonate,YZXBAPSDXZZRGB,,,expert,query_unresolvable,False,
argininate*,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:90000,Argininic acid,BMFMQGXDDJALKQ,CHEBI:32695,argininate,ODKSFYDXXFIFQN,,,expert,query_unresolvable,False,
arginine,CURATION,multi-id (biomapper ambiguous set),CHEBI:29016,arginine,ODKSFYDXXFIFQN,CHEBI:16467|CHEBI:31235,L-arginine|Arginine hydrochloride,ODKSFYDXXFIFQN|ODKSFYDXXFIFQN,ODKSFYDXXFIFQN,,expert,ambiguous_shared_connectivity,True,
asparagine,CURATION,multi-id (biomapper ambiguous set),CHEBI:22653,asparagine,DCXYFEDJOCDNAF,CHEBI:15724|CHEBI:17196|CHEBI:58048,trimethylamine N-oxide|L-asparagine|L-asparagine zwitterion,DCXYFEDJOCDNAF|DCXYFEDJOCDNAF|DCXYFEDJOCDNAF,DCXYFEDJOCDNAF,,expert,ambiguous_shared_connectivity,True,
aspartate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:22660,aspartic acid,CKLJMWTZIZZHCS,CHEBI:17053,L-aspartic acid,CKLJMWTZIZZHCS,CKLJMWTZIZZHCS,,expert,ambiguous_shared_connectivity,True,
bicine,MS2,divergent (different compound),CHEBI:39066,[bis(2-hydroxyethyl)ammonio]acetate,FSVCELGFZIQNCK,CHEBI:39065,bicine,FSVCELGFZIQNCK,FSVCELGFZIQNCK,,expert,ambiguous_shared_connectivity,False,
cholate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:16359,cholic acid,BHQCQFFYRZLCQQ,CHEBI:29747,cholate,BHQCQFFYRZLCQQ,BHQCQFFYRZLCQQ,,expert,ambiguous_shared_connectivity,False,
citrate,MS2,parent/child or substring (generic vs specific),CHEBI:30769,citric acid,NLJMYIDDQXHKNR,CHEBI:50744,citrate salt,KRKNYBCHXYNGOX,KRKNYBCHXYNGOX,CHEBI:50744,inchikey_auto,connectivity_match,True,"tier1,ablation,tbench"
